DexID,Pokemon,Move1_Level,Move1_Name,Move2_Level,Move2_Name,Move3_Level,Move3_Name,Move4_Level,Move4_Name,Move5_Level,Move5_Name,Move6_Level,Move6_Name,Move7_Level,Move7_Name,Move8_Level,Move8_Name,Move9_Level,Move9_Name,Move10_Level,Move10_Name,Move11_Level,Move11_Name,Move12_Level,Move12_Name,Move13_Level,Move13_Name,Move14_Level,Move14_Name,Move15_Level,Move15_Name,Move16_Level,Move16_Name,Move17_Level,Move17_Name,Move18_Level,Move18_Name,Move19_Level,Move19_Name,Move20_Level,Move20_Name,Move21_Level,Move21_Name,Move22_Level,Move22_Name,Move23_Level,Move23_Name,Move24_Level,Move24_Name,Move25_Level,Move25_Name,Move26_Level,Move26_Name
16,FERRAPIN,1,TACKLE,1,TAIL WHIP,1,WITHDRAW,1,BUBBLE,4,TAIL WHIP,7,BUBBLE,10,WITHDRAW,13,WATER GUN,19,BITE,22,RAPID SPIN,25,BUBBLEBEAM,31,PROTECT,42,RAIN DANCE,52,FLASH CANNON,55,SKULL BASH,68,HYDRO PUMP,,,,,,,,,,,,,,,,,,,,
17,FORTOISE,1,TACKLE,1,TAIL WHIP,1,WITHDRAW,1,BUBBLE,4,TAIL WHIP,7,BUBBLE,10,WITHDRAW,13,WATER GUN,19,BITE,22,RAPID SPIN,25,BUBBLEBEAM,31,PROTECT,42,RAIN DANCE,52,FLASH CANNON,55,SKULL BASH,68,HYDRO PUMP,,,,,,,,,,,,,,,,,,,,
18,TURTILLERY,1,TACKLE,1,STRING SHOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,CATERPIE,1,HARDEN,7,HARDEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,METAPOD,1,CONFUSION,10,CONFUSION,13,POISONPOWDER,14,STUN SPORE,15,SLEEP POWDER,18,SUPERSONIC,23,WHIRLWIND,28,GUST,34,PSYBEAM,40,SAFEGUARD,47,SILVER WIND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,BUTTERFREE,1,CONFUSION,10,CONFUSION,11,EMBER,13,POISONPOWDER,14,STUN SPORE,15,SLEEP POWDER,18,SUPERSONIC,22,FIRE SPIN,23,WHIRLWIND,25,WILL-O-WISP,28,GUST,34,PSYBEAM,40,SAFEGUARD,47,SILVER WIND,,,,,,,,,,,,,,,,,,,,,,,,
22,BUTTEFLARE,1,CONFUSION,10,CONFUSION,11,EMBER,13,POISONPOWDER,14,STUN SPORE,15,SLEEP POWDER,18,SUPERSONIC,23,GUST,25,FIRE SPIN,28,WILL-O-WISP,34,HEAT WAVE,36,WEATHER BALL,40,AIR CUTTER,47,OVERHEAT,,,,,,,,,,,,,,,,,,,,,,,,
23,PYREFREE,1,CONFUSION,10,CONFUSION,11,EMBER,13,POISONPOWDER,14,STUN SPORE,15,SLEEP POWDER,18,SUPERSONIC,23,GUST,25,WILL-O-WISP,28,WHIRLWIND,34,HEAT WAVE,36,WEATHER BALL,40,AIR CUTTER,45,OVERHEAT,47,SUNNY DAY,50,FLAMETHROWER,55,ERUPTION,60,BUG BUZZ,,,,,,,,,,,,,,,,
24,IMPSECT,1,POISON STING,1,STRING SHOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,WEEDLE,1,HARDEN,7,HARDEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,KAKUNA,1,FURY ATTACK,10,FURY ATTACK,15,FOCUS ENERGY,20,TWINEEDLE,25,RAGE,30,PURSUIT,35,PIN MISSILE,40,AGILITY,45,ENDEAVOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,BEEDRILL,1,FURY ATTACK,10,FURY ATTACK,15,FOCUS ENERGY,20,TWINEEDLE,25,RAGE,25,BULK UP,30,PURSUIT,35,PIN MISSILE,40,MEGAHORN,50,ENDEAVOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,BEEBRUTE,1,FURY ATTACK,5,BIDE,10,FURY ATTACK,15,FOCUS ENERGY,20,TWINEEDLE,25,RAGE,25,BULK UP,30,PIN MISSILE,30,PURSUIT,36,BARRIER,36,LIGHT SCREEN,36,REFLECT,36,PROTECT,40,MEGAHORN,45,SPIKE CANNON,45,POISON JAB,50,ENDEAVOR,,,,,,,,,,,,,,,,,,
29,DRONARCH,1,FURY ATTACK,10,FURY ATTACK,15,FOCUS ENERGY,20,TWINEEDLE,25,RAGE,30,SLASH,30,PURSUIT,35,PIN MISSILE,36,SWORDS DANCE,36,ENCORE,40,AGILITY,40,MEGAHORN,45,POISON JAB,55,GUILLOTINE,,,,,,,,,,,,,,,,,,,,,,,,
30,SEPISTRIKE,1,TACKLE,5,SAND-ATTACK,9,GUST,13,QUICK ATTACK,19,WHIRLWIND,25,WING ATTACK,29,FEATHERDANCE,34,AGILITY,38,MIRROR MOVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,PIDGEY,1,GUST,1,SAND-ATTACK,1,TACKLE,5,SAND-ATTACK,9,GUST,13,QUICK ATTACK,20,WHIRLWIND,27,WING ATTACK,31,FEATHERDANCE,35,AGILITY,40,MIRROR MOVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,PIDGEOTTO,1,GUST,1,SAND-ATTACK,1,TACKLE,1,QUICK ATTACK,5,SAND-ATTACK,9,GUST,13,QUICK ATTACK,20,WHIRLWIND,27,WING ATTACK,31,FEATHERDANCE,36,DRILL PECK,36,AGILITY,41,MIRROR MOVE,,,,,,,,,,,,,,,,,,,,,,,,,,
33,PIDGEOT,1,GUST,1,SAND-ATTACK,1,TACKLE,1,QUICK ATTACK,5,SAND-ATTACK,9,GUST,13,QUICK ATTACK,20,WHIRLWIND,27,WING ATTACK,31,FEATHERDANCE,36,DRILL PECK,36,AGILITY,41,MIRROR MOVE,47,STEEL WING,52,VOLT TACKLE,58,BRAVE BIRD,,,,,,,,,,,,,,,,,,,,
34,PIDGAERO,1,GUST,1,SAND-ATTACK,1,TACKLE,1,QUICK ATTACK,5,SAND-ATTACK,9,GUST,13,QUICK ATTACK,20,WHIRLWIND,27,WING ATTACK,31,FEATHERDANCE,36,DRILL PECK,36,AGILITY,41,MIRROR MOVE,47,STEEL WING,52,VOLT TACKLE,58,BRAVE BIRD,,,,,,,,,,,,,,,,,,,,
35,PIDGEOZONE,1,GUST,1,SAND-ATTACK,1,TACKLE,1,QUICK ATTACK,5,SAND-ATTACK,9,GUST,13,QUICK ATTACK,20,WHIRLWIND,27,WING ATTACK,31,FEATHERDANCE,36,DRILL PECK,36,AGILITY,41,MIRROR MOVE,47,STEEL WING,52,VOLT TACKLE,58,BRAVE BIRD,,,,,,,,,,,,,,,,,,,,
36,PIDGEPHYR,1,TACKLE,1,TAIL WHIP,7,QUICK ATTACK,13,HYPER FANG,20,FOCUS ENERGY,27,PURSUIT,34,SUPER FANG,41,ENDEAVOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,RATTATA,1,TACKLE,1,TAIL WHIP,1,QUICK ATTACK,7,QUICK ATTACK,13,HYPER FANG,15,SCARY FACE,20,PURSUIT,25,SUPER FANG,40,ENDEAVOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,RATICATE,1,TACKLE,1,TAIL WHIP,1,QUICK ATTACK,5,QUICK ATTACK,7,SNATCH,13,HYPER FANG,20,SCARY FACE,30,PURSUIT,35,SUPER FANG,40,POISON FANG,50,ENDEAVOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,RATTCHET,1,TACKLE,1,TAIL WHIP,1,QUICK ATTACK,7,SNATCH,13,HYPER FANG,20,SCARY FACE,20,UPROAR,25,PURSUIT,30,SUPER FANG,40,POISON FANG,40,FOUL PLAY,50,ENDEAVOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,RATTARULE,1,GROWL,1,PECK,7,LEER,13,FURY ATTACK,19,PURSUIT,25,AERIAL ACE,29,MIRROR MOVE,34,DRILL PECK,38,AGILITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,SPEAROW,1,FURY ATTACK,1,LEER,1,GROWL,1,PECK,7,LEER,13,FURY ATTACK,26,PURSUIT,29,MIRROR MOVE,34,DRILL PECK,38,AGILITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,FEAROW,1,FURY ATTACK,1,LEER,1,GROWL,1,PECK,7,LEER,13,FURY ATTACK,26,PURSUIT,29,MIRROR MOVE,30,TAUNT,34,DRILL PECK,38,AGILITY,44,NIGHT SLASH,49,CALM MIND,55,BEAT UP,59,DESTINY BOND,64,BRAVE BIRD,,,,,,,,,,,,,,,,,,,,
43,SNEEROW,1,FURY ATTACK,1,LEER,1,GROWL,1,PECK,7,LEER,13,FURY ATTACK,26,PURSUIT,29,MIRROR MOVE,30,TAUNT,34,DRILL PECK,38,AGILITY,44,NIGHT SLASH,49,CALM MIND,55,BEAT UP,59,DESTINY BOND,64,BRAVE BIRD,,,,,,,,,,,,,,,,,,,,
44,ORNITHOW,1,WRAP,1,LEER,8,POISON STING,13,BITE,20,GLARE,25,SCREECH,32,POISON FANG,37,STOCKPILE,37,SPIT UP,37,SWALLOW,42,HAZE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,EKANS,1,WRAP,1,POISON STING,1,LEER,1,BITE,8,POISON STING,13,BITE,20,GLARE,25,SCREECH,32,POISON FANG,37,STOCKPILE,37,SPIT UP,37,SWALLOW,44,HAZE,,,,,,,,,,,,,,,,,,,,,,,,,,
46,ARBOK,1,WRAP,1,POISON STING,1,LEER,1,BITE,8,POISON STING,13,BITE,20,GLARE,25,SCREECH,32,POISON FANG,37,STOCKPILE,37,SPIT UP,37,SWALLOW,44,HAZE,49,POISON JAB,55,CRUNCH,57,OUTRAGE,,,,,,,,,,,,,,,,,,,,
47,NOHTYP,1,WRAP,1,POISON STING,1,LEER,1,BITE,8,POISON STING,13,BITE,20,GLARE,25,SCREECH,32,POISON FANG,37,STOCKPILE,37,SPIT UP,37,SWALLOW,44,HAZE,49,POISON JAB,55,CRUNCH,57,OUTRAGE,,,,,,,,,,,,,,,,,,,,
48,ADNOKANA,1,GROWL,1,THUNDERSHOCK,6,TAIL WHIP,8,THUNDER WAVE,11,QUICK ATTACK,15,DOUBLE TEAM,20,SLAM,26,SPARK,33,AGILITY,37,THUNDER,42,LIGHT SCREEN,47,THUNDERBOLT,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,PIKACHU,1,GROWL,1,THUNDERSHOCK,6,TAIL WHIP,8,THUNDER WAVE,11,QUICK ATTACK,15,DOUBLE TEAM,20,SLAM,26,SPARK,33,AGILITY,37,THUNDER,42,LIGHT SCREEN,47,THUNDERBOLT,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,RAICHU,1,GROWL,1,THUNDERSHOCK,6,TAIL WHIP,8,THUNDER WAVE,11,QUICK ATTACK,15,DOUBLE TEAM,20,SLAM,26,SPARK,33,AGILITY,37,THUNDER,40,DARK PULSE,43,TORMENT,45,LIGHT SCREEN,48,KNOCK OFF,50,FOUL PLAY,52,THUNDERBOLT,56,AURA SPHERE,59,CALM MIND,64,VOLT TACKLE,,,,,,,,,,,,,,
51,GOROCHU,1,GROWL,1,THUNDERSHOCK,6,TAIL WHIP,8,THUNDER WAVE,11,QUICK ATTACK,15,DOUBLE TEAM,20,SLAM,26,SPARK,33,AGILITY,37,THUNDER,40,DARK PULSE,43,TORMENT,45,LIGHT SCREEN,48,KNOCK OFF,50,FOUL PLAY,52,THUNDERBOLT,56,AURA SPHERE,59,CALM MIND,64,VOLT TACKLE,,,,,,,,,,,,,,
52,STROMACHU,1,SCRATCH,6,DEFENSE CURL,11,SAND-ATTACK,17,SAND TOMB,20,POISON STING,23,SLASH,30,MAGNITUDE,34,FURY SWIPES,40,SANDSTORM,46,EARTHQUAKE,50,GYRO BALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,SANDSHREW,1,SCRATCH,1,DEFENSE CURL,6,DEFENSE CURL,11,SAND-ATTACK,17,SAND TOMB,20,POISON STING,23,SLASH,30,MAGNITUDE,34,FURY SWIPES,40,SANDSTORM,42,SPIKES,46,EARTHQUAKE,50,GYRO BALL,,,,,,,,,,,,,,,,,,,,,,,,,,
54,SANDSLASH,1,SCRATCH,1,DEFENSE CURL,1,METAL CLAW,6,DEFENSE CURL,11,SAND-ATTACK,17,SAND TOMB,20,POISON STING,23,SLASH,30,MAGNITUDE,31,ROLLOUT,34,FURY SWIPES,40,SANDSTORM,42,SPIKES,46,EARTHQUAKE,48,IRON DEFENSE,50,GYRO BALL,55,SWORDS DANCE,60,METAL BURST,,,,,,,,,,,,,,,,
55,SANDSLAM,1,SCRATCH,1,DEFENSE CURL,1,METAL CLAW,6,DEFENSE CURL,11,SAND-ATTACK,17,SAND TOMB,20,POISON STING,23,SLASH,30,MAGNITUDE,31,ROLLOUT,34,FURY SWIPES,40,SANDSTORM,42,SPIKES,46,EARTHQUAKE,48,IRON DEFENSE,50,GYRO BALL,55,SWORDS DANCE,60,METAL BURST,,,,,,,,,,,,,,,,
56,FERODILLO,1,SCRATCH,1,GROWL,8,TAIL WHIP,12,DOUBLE KICK,17,POISON STING,20,BITE,23,POISON TAIL,30,FURY SWIPES,34,SAND TOMB,38,FLATTER,40,CRUNCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,NIDORAN?,1,SCRATCH,1,GROWL,8,TAIL WHIP,12,DOUBLE KICK,17,POISON STING,20,BITE,23,POISON TAIL,30,FURY SWIPES,34,SAND TOMB,38,FLATTER,40,CRUNCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,NIDORINA,1,SCRATCH,1,GROWL,8,TAIL WHIP,12,DOUBLE KICK,17,POISON STING,20,BITE,23,POISON TAIL,30,FURY SWIPES,34,SAND TOMB,38,FLATTER,40,CRUNCH,44,POISON JAB,49,EARTHQUAKE,55,THRASH,60,IRON HEAD,65,SWORDS DANCE,68,SUPERPOWER,,,,,,,,,,,,,,,,,,
59,NIDOQUEEN,1,SCRATCH,1,GROWL,8,TAIL WHIP,12,DOUBLE KICK,17,POISON STING,20,BITE,23,POISON TAIL,30,FURY SWIPES,34,SAND TOMB,38,FLATTER,40,CRUNCH,44,POISON JAB,49,EARTHQUAKE,55,THRASH,60,IRON HEAD,65,SWORDS DANCE,68,SUPERPOWER,,,,,,,,,,,,,,,,,,
60,NIDOREGAL,1,SCRATCH,1,GROWL,8,TAIL WHIP,12,DOUBLE KICK,17,POISON STING,20,BITE,23,POISON TAIL,30,FURY SWIPES,34,SAND TOMB,38,FLATTER,40,CRUNCH,44,POISON JAB,49,EARTHQUAKE,55,THRASH,60,IRON HEAD,65,SWORDS DANCE,68,SUPERPOWER,,,,,,,,,,,,,,,,,,
61,NIDOARCHY,1,SCRATCH,1,GROWL,8,TAIL WHIP,12,DOUBLE KICK,17,POISON STING,20,BITE,23,POISON TAIL,30,HORN ATTACK,34,SAND TOMB,38,SWAGGER,40,HORN DRILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,NIDORAN?,1,SCRATCH,1,GROWL,8,TAIL WHIP,12,DOUBLE KICK,17,POISON STING,20,BITE,23,POISON TAIL,30,HORN ATTACK,34,SAND TOMB,38,SWAGGER,40,HORN DRILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,NIDORINO,1,SCRATCH,1,GROWL,8,TAIL WHIP,12,DOUBLE KICK,17,POISON STING,20,BITE,23,POISON TAIL,30,HORN ATTACK,34,SAND TOMB,38,SWAGGER,40,HORN DRILL,44,POISON JAB,49,EARTHQUAKE,55,MEGAHORN,60,IRON HEAD,65,SWORDS DANCE,68,SUPERPOWER,,,,,,,,,,,,,,,,,,
64,NIDOKING,1,SCRATCH,1,GROWL,8,TAIL WHIP,12,DOUBLE KICK,17,POISON STING,20,BITE,23,POISON TAIL,30,HORN ATTACK,34,SAND TOMB,38,SWAGGER,40,HORN DRILL,44,POISON JAB,49,EARTHQUAKE,55,MEGAHORN,60,IRON HEAD,65,SWORDS DANCE,68,SUPERPOWER,,,,,,,,,,,,,,,,,,
65,NIDORULY,1,SCRATCH,1,GROWL,8,TAIL WHIP,12,DOUBLE KICK,17,POISON STING,20,BITE,23,POISON TAIL,30,HORN ATTACK,34,SAND TOMB,38,SWAGGER,40,HORN DRILL,44,POISON JAB,49,EARTHQUAKE,55,MEGAHORN,60,IRON HEAD,65,SWORDS DANCE,68,SUPERPOWER,,,,,,,,,,,,,,,,,,
66,NIDOMINATE,1,POUND,1,GROWL,5,ENCORE,9,SING,13,DOUBLESLAP,17,FOLLOW ME,20,SWIFT,21,MINIMIZE,25,DEFENSE CURL,29,METRONOME,33,COSMIC POWER,37,MOONLIGHT,39,FLASH CANNON,41,LIGHT SCREEN,45,PSYCHIC,50,HYPER VOICE,54,WISH,,,,,,,,,,,,,,,,,,
67,CLEFAIRY,1,POUND,1,GROWL,5,ENCORE,9,SING,13,DOUBLESLAP,17,FOLLOW ME,20,SWIFT,21,MINIMIZE,25,DEFENSE CURL,29,METRONOME,33,COSMIC POWER,37,MOONLIGHT,39,FLASH CANNON,41,LIGHT SCREEN,45,PSYCHIC,50,HYPER VOICE,54,WISH,,,,,,,,,,,,,,,,,,
68,CLEFABLE,1,POUND,1,GROWL,5,ENCORE,9,SING,13,DOUBLESLAP,17,FOLLOW ME,20,SWIFT,21,MINIMIZE,25,DEFENSE CURL,29,METRONOME,33,COSMIC POWER,37,MOONLIGHT,39,FLASH CANNON,41,LIGHT SCREEN,45,PSYCHIC,50,HYPER VOICE,54,WISH,59,EXTRASENSORY,65,FUTURE SIGHT,,,,,,,,,,,,,,
69,CLEFAEFAE,1,POUND,1,GROWL,5,ENCORE,9,SING,13,DOUBLESLAP,17,FOLLOW ME,20,SWIFT,21,MINIMIZE,25,DEFENSE CURL,29,METRONOME,33,COSMIC POWER,37,MOONLIGHT,39,FLASH CANNON,41,LIGHT SCREEN,45,PSYCHIC,50,HYPER VOICE,54,WISH,59,EXTRASENSORY,65,FUTURE SIGHT,,,,,,,,,,,,,,
70,CLEFANAUT,1,EMBER,5,TAIL WHIP,9,ROAR,13,QUICK ATTACK,17,WILL-O-WISP,21,FIRE SPIN,25,CONFUSE RAY,29,SWIFT,33,SAFEGUARD,37,FLAMETHROWER,41,MORNING SUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,VULPIX,1,EMBER,5,TAIL WHIP,9,ROAR,13,QUICK ATTACK,17,WILL-O-WISP,21,FIRE SPIN,25,CONFUSE RAY,29,SWIFT,33,SAFEGUARD,37,FLAMETHROWER,40,SHADOW BALL,41,MORNING SUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,NINETALES,1,EMBER,5,TAIL WHIP,9,ROAR,13,QUICK ATTACK,17,WILL-O-WISP,21,FIRE SPIN,25,CONFUSE RAY,29,SWIFT,33,SAFEGUARD,37,FLAMETHROWER,40,SHADOW BALL,41,MORNING SUN,44,CURSE,49,FIRE BLAST,56,EXTRASENSORY,60,BLAST BURN,,,,,,,,,,,,,,,,,,,,
73,SPIRITALES,1,EMBER,5,TAIL WHIP,9,ROAR,13,QUICK ATTACK,17,WILL-O-WISP,21,FIRE SPIN,25,CONFUSE RAY,29,SWIFT,33,SAFEGUARD,37,FLAMETHROWER,40,SHADOW BALL,41,MORNING SUN,44,CURSE,49,FIRE BLAST,56,EXTRASENSORY,60,BLAST BURN,,,,,,,,,,,,,,,,,,,,
74,YOKAYUBI,1,SING,4,DEFENSE CURL,9,POUND,14,DISABLE,19,ROLLOUT,24,DOUBLESLAP,29,REST,34,BODY SLAM,39,MIMIC,44,HYPER VOICE,49,DOUBLE-EDGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,JIGGLYPUFF,1,SING,4,DEFENSE CURL,9,POUND,14,DISABLE,19,ROLLOUT,24,DOUBLESLAP,29,REST,34,BODY SLAM,39,MIMIC,44,HYPER VOICE,49,DOUBLE-EDGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,WIGGLYTUFF,1,SING,4,DEFENSE CURL,9,POUND,14,DISABLE,19,ROLLOUT,24,DOUBLESLAP,29,REST,34,BODY SLAM,39,MIMIC,40,AIR SLASH,44,HYPER VOICE,49,DOUBLE-EDGE,53,LIGHT SCREEN,53,REFLECT,58,PSYCHIC,62,RECOVER,,,,,,,,,,,,,,,,,,,,
77,GIGGLYHUFF,1,SING,4,DEFENSE CURL,9,POUND,14,DISABLE,19,ROLLOUT,24,DOUBLESLAP,29,REST,34,BODY SLAM,39,MIMIC,40,AIR SLASH,44,HYPER VOICE,49,DOUBLE-EDGE,53,LIGHT SCREEN,53,REFLECT,58,PSYCHIC,62,RECOVER,,,,,,,,,,,,,,,,,,,,
78,BOGGLYFUFF,1,LEECH LIFE,6,ASTONISH,11,SUPERSONIC,16,BITE,21,WING ATTACK,26,CONFUSE RAY,31,POISON JAB,36,MEAN LOOK,41,CRUNCH,43,AERIAL ACE,46,HAZE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,ZUBAT,1,BITE,1,LEECH LIFE,6,ASTONISH,11,SUPERSONIC,16,BITE,21,WING ATTACK,26,CONFUSE RAY,31,POISON JAB,36,MEAN LOOK,41,CRUNCH,43,AERIAL ACE,46,HAZE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
