ID,Name,Type1,Type2,HP,Attack,Defense,SpecialAttack,SpecialDefense,Speed,Ability1,Ability2,CatchRate,GenderRatio,EggGroup1,EggGroup2,BaseExperience,BaseFriendship,GrowthRate,EXPGroup
23,PYREFREE,6,10,85,50,55,125,100,80,BLAZE,-------,45,50% Male & 50% Female,Bug,Bug,199,70,Medium Fast,
24,IMPSECT,6,10,90,55,55,130,110,80,FLASH FIRE,-------,45,50% Male & 50% Female,Bug,Bug,205,70,Medium Fast,
25,WEEDLE,6,3,40,35,30,20,20,50,SHIELD DUST,-------,255,75% Male,Bug,Bug,52,70,Medium Fast,
26,KAKUNA,6,3,45,25,50,25,25,35,SHED SKIN,-------,120,87% Male,Bug,Bug,71,70,Medium Fast,
27,BEEDRILL,6,3,65,90,40,45,80,75,SWARM,-------,45,87% Male,Bug,Bug,159,70,Medium Fast,
28,BEEBRUTE,6,3,75,110,70,45,80,60,SWARM,-------,45,87% Male,Bug,Bug,182,70,Medium Fast,
29,DRONARCH,6,3,80,85,135,45,115,50,SWARM,-------,45,100% Male,Bug,Bug,200,70,Medium Fast,
30,SEPISTRIKE,6,3,80,135,85,50,45,115,SWARM,-------,45,100% Female,Bug,Bug,200,70,Medium Fast,
31,PIDGEY,0,2,40,45,40,35,35,56,KEEN EYE,-------,255,50% Male & 50% Female,Flying,Flying,55,70,Medium Slow,
32,PIDGEOTTO,0,2,63,60,55,50,50,71,KEEN EYE,-------,120,50% Male & 50% Female,Flying,Flying,113,70,Medium Slow,
33,PIDGEOT,0,2,83,80,75,70,70,101,KEEN EYE,-------,45,50% Male & 50% Female,Flying,Flying,172,70,Medium Slow,
34,PIDGAERO,0,2,83,95,85,70,75,121,KEEN EYE,-------,45,50% Male & 50% Female,Flying,Flying,196,70,Medium Slow,
35,PIDGEOZONE,0,2,83,105,95,80,75,141,KEEN EYE,-------,45,50% Male & 50% Female,Flying,Flying,209,70,Medium Slow,
36,PIDGEPHYR,0,2,90,120,95,83,75,151,AIR LOCK,-------,45,50% Male & 50% Female,Flying,Flying,218,70,Medium Slow,
37,RATTATA,0,0,30,56,35,25,35,72,RUN AWAY,GUTS,255,50% Male & 50% Female,Field,Field,57,70,Medium Fast,
38,RATICATE,0,0,55,81,60,50,70,97,RUN AWAY,GUTS,127,50% Male & 50% Female,Field,Field,116,70,Medium Fast,
39,RATTCHET,0,0,70,90,65,55,75,108,RUN AWAY,GUTS,127,50% Male & 50% Female,Field,Field,141,70,Medium Fast,
40,RATTARULE,0,3,110,120,65,55,113,100,POISON POINT,GUTS,127,50% Male & 50% Female,Field,Field,169,70,Medium Fast,
41,SPEAROW,0,2,40,60,30,31,31,70,KEEN EYE,-------,255,50% Male & 50% Female,Flying,Flying,58,70,Medium Fast,
42,FEAROW,0,2,65,90,65,61,61,100,KEEN EYE,-------,90,50% Male & 50% Female,Flying,Flying,162,70,Medium Fast,
43,SNEEROW,17,2,65,111,75,61,65,115,INSOMNIA,-------,90,50% Male & 50% Female,Flying,Flying,189,70,Medium Fast,
44,ORNITHOW,17,2,74,120,85,91,65,137,INSOMNIA,-------,90,50% Male & 50% Female,Flying,Flying,205,70,Medium Fast,
45,EKANS,3,3,35,60,44,40,54,55,INTIMIDATE,SHED SKIN,255,50% Male & 50% Female,Field,Dragon,62,70,Medium Fast,
46,ARBOK,3,3,60,95,69,65,79,80,INTIMIDATE,SHED SKIN,90,50% Male & 50% Female,Field,Dragon,147,70,Medium Fast,
47,NOHTYP,3,3,65,119,69,65,90,90,INTIMIDATE,SHED SKIN,90,50% Male & 50% Female,Field,Dragon,165,70,Medium Fast,
48,ADNOKANA,3,3,75,135,89,89,110,100,INTIMIDATE,SHED SKIN,90,50% Male & 50% Female,Field,Dragon,188,70,Medium Fast,
49,PIKACHU,13,13,60,95,69,65,79,80,STATIC,-------,190,50% Male & 50% Female,Field,Fairy,82,70,Medium Fast,
50,RAICHU,13,13,60,90,55,90,80,110,STATIC,-------,75,50% Male & 50% Female,Field,Fairy,122,70,Medium Fast,
51,GOROCHU,13,17,70,100,55,100,85,125,STATIC,-------,75,50% Male & 50% Female,Field,Fairy,148,70,Medium Fast,
52,STROMACHU,13,17,72,100,70,125,105,133,LIGHTNINGROD,-------,75,50% Male & 50% Female,Field,Fairy,178,70,Medium Fast,
53,SANDSHREW,4,4,50,75,85,20,30,40,SAND VEIL,-------,255,50% Male & 50% Female,Field,Field,93,70,Medium Fast,
54,SANDSLASH,4,4,75,100,110,45,55,65,SAND VEIL,-------,90,50% Male & 50% Female,Field,Field,163,70,Medium Fast,
55,SANDSLAM,4,8,90,108,125,57,55,65,STURDY,-------,90,50% Male & 50% Female,Field,Field,185,70,Medium Fast,
56,FERODILLO,4,8,105,119,156,70,65,70,STURDY,-------,90,50% Male & 50% Female,Field,Field,202,70,Medium Fast,
57,NIDORAN\sf,3,3,55,47,52,40,40,41,POISON POINT,-------,235,100% Female,Monster,Field,59,70,Medium Slow,
58,NIDORINA,3,3,70,62,67,55,55,56,POISON POINT,-------,120,100% Female,Undiscovered,Undiscovered,117,70,Medium Slow,
59,NIDOQUEEN,3,4,90,92,87,75,85,76,POISON POINT,-------,45,100% Female,Undiscovered,Undiscovered,194,70,Medium Slow,
60,NIDOREGAL,3,4,104,118,97,75,85,76,POISON POINT,-------,45,100% Female,Undiscovered,Undiscovered,207,70,Medium Slow,
61,NIDOARCHY,3,4,130,138,121,85,85,76,INTIMIDATE,-------,45,100% Female,Undiscovered,Undiscovered,220,70,Medium Slow,
62,NIDORAN\sm,3,3,46,57,40,40,40,50,POISON POINT,-------,235,100% Male,Monster,Field,60,70,Medium Fast,
63,NIDORINO,3,3,61,72,57,55,55,65,POISON POINT,-------,120,100% Male,Monster,Field,118,70,Medium Fast,
64,NIDOKING,3,4,81,102,77,85,75,85,POISON POINT,-------,45,100% Male,Monster,Field,195,70,Medium Fast,
65,NIDORULY,3,4,85,123,82,85,80,100,POISON POINT,-------,45,100% Male,Monster,Field,208,70,Medium Fast,
66,NIDOMINATE,3,4,90,145,115,85,82,118,INTIMIDATE,-------,45,100% Male,Monster,Field,221,70,Medium Fast,
67,CLEFAIRY,0,0,70,45,48,60,65,35,CUTE CHARM,-------,150,75% Female,Fairy,Fairy,68,140,Fast,
68,CLEFABLE,0,0,95,70,73,95,90,60,CUTE CHARM,-------,25,75% Female,Fairy,Fairy,129,140,Fast,
69,CLEFAEFAE,0,0,111,70,80,111,101,60,CUTE CHARM,-------,25,75% Female,Fairy,Fairy,150,140,Fast,
70,CLEFANAUT,0,14,122,90,83,122,111,75,ILLUMINATE,-------,25,75% Female,Fairy,Fairy,177,140,Fast,
71,VULPIX,10,10,38,41,40,50,65,65,FLASH FIRE,-------,190,75% Female,Field,Field,63,70,Medium Fast,
72,NINETALES,10,10,73,76,75,81,100,100,FLASH FIRE,-------,75,75% Female,Field,Field,178,70,Medium Fast,
73,SPIRITALES,10,7,73,76,77,95,117,117,FLASH FIRE,SHADOW TAG,75,75% Female,Field,Field,190,70,Medium Fast,
74,YOKAYUBI,10,7,70,91,90,115,137,137,FLASH FIRE,SHADOW TAG,75,75% Female,Field,Field,204,70,Medium Fast,
75,JIGGLYPUFF,0,0,115,45,20,45,25,20,CUTE CHARM,-------,170,75% Female,Fairy,Fairy,76,70,Fast,
76,WIGGLYTUFF,0,0,140,70,45,85,50,45,CUTE CHARM,-------,50,75% Female,Fairy,Fairy,109,70,Fast,
77,GIGGLYHUFF,0,0,150,75,60,90,70,40,CLOUD NINE,-------,50,75% Female,Fairy,Fairy,130,70,Fast,
78,BOGGLYFUFF,0,2,160,100,75,110,90,40,CLOUD NINE,-------,50,75% Female,Fairy,Fairy,166,70,Fast,
79,ZUBAT,3,2,40,45,35,30,40,55,INNER FOCUS,-------,255,50% Male & 50% Female,Flying,Flying,54,70,Medium Fast,
80,GOLBAT,3,2,75,80,70,65,75,90,INNER FOCUS,-------,90,50% Male & 50% Female,Flying,Flying,171,70,Medium Fast,
81,CROBAT,3,2,85,90,80,70,80,130,INNER FOCUS,-------,90,50% Male & 50% Female,Flying,Flying,204,70,Medium Fast,
82,POLABAT,3,2,75,100,80,90,80,160,INNER FOCUS,-------,90,50% Male & 50% Female,Flying,Flying,210,70,Medium Fast,
83,VISIBAT,3,2,65,124,82,114,82,168,INNER FOCUS,-------,90,50% Male & 50% Female,Flying,Flying,215,70,Medium Fast,
84,HORRIBAT,3,2,33,134,82,114,82,225,INNER FOCUS,-------,90,50% Male & 50% Female,Flying,Flying,220,70,Medium Fast,
85,ODDISH,12,3,45,50,55,75,65,30,CHLOROPHYLL,-------,255,50% Male & 50% Female,Grass,Grass,78,70,Medium Fast,
86,GLOOM,12,3,60,65,70,85,75,40,CHLOROPHYLL,-------,120,50% Male & 50% Female,Grass,Grass,132,70,Medium Fast,
87,VILEPLUME,12,3,75,80,85,110,90,50,CHLOROPHYLL,-------,45,50% Male & 50% Female,Grass,Grass,184,70,Medium Fast,
88,RAFFLURK,12,3,85,80,90,120,100,55,LIQUID OOZE,-------,45,50% Male & 50% Female,Grass,Grass,205,70,Medium Fast,
89,CONCORPSIA,12,3,100,85,90,135,110,60,LIQUID OOZE,-------,45,50% Male & 50% Female,Grass,Grass,220,70,Medium Fast,
90,PARAS,6,12,35,70,55,45,55,25,EFFECT SPORE,-------,190,50% Male & 50% Female,Bug,Grass,70,70,Medium Fast,
91,PARASECT,6,12,60,95,80,60,80,30,EFFECT SPORE,-------,75,50% Male & 50% Female,Bug,Grass,128,70,Medium Fast,
92,SECTASITE,6,5,75,110,90,70,90,40,EFFECT SPORE,-------,75,50% Male & 50% Female,Bug,Grass,152,70,Medium Fast,
93,FUNGALITH,6,5,110,120,100,75,95,50,EFFECT SPORE,-------,75,50% Male & 50% Female,Bug,Grass,188,70,Medium Fast,
94,VENONAT,6,3,60,55,50,40,55,45,COMPOUNDEYES,-------,190,50% Male & 50% Female,Bug,Bug,75,70,Medium Fast,
95,VENOMOTH,6,3,70,65,60,90,75,90,SHIELD DUST,-------,75,50% Male & 50% Female,Bug,Bug,138,70,Medium Fast,
96,VENOMENA,6,3,80,80,70,105,90,90,SHIELD DUST,-------,75,50% Male & 50% Female,Bug,Bug,164,70,Medium Fast,
97,VENOMENON,6,14,85,90,80,125,105,85,SHIELD DUST,-------,75,50% Male & 50% Female,Bug,Bug,193,70,Medium Fast,
98,DIGLETT,4,4,10,55,25,35,45,95,SAND VEIL,ARENA TRAP,255,50% Male & 50% Female,Field,Field,81,70,Medium Fast,
99,DUGTRIO,4,4,35,100,50,50,70,120,SAND VEIL,ARENA TRAP,50,50% Male & 50% Female,Field,Field,153,70,Medium Fast,
100,DUGROUPLE,4,4,45,120,65,50,75,135,SAND VEIL,ARENA TRAP,50,50% Male & 50% Female,Field,Field,177,70,Medium Fast,
101,UNEARTHLET,4,4,65,135,80,55,80,155,SAND VEIL,ARENA TRAP,50,50% Male & 50% Female,Field,Field,196,70,Medium Fast,
102,DIGLENOID,4,1,100,165,90,55,85,135,SAND VEIL,ARENA TRAP,50,50% Male & 50% Female,Field,Field,210,70,Medium Fast,
103,MEOWTH,0,0,40,45,35,40,40,90,PICKUP,-------,255,50% Male & 50% Female,Field,Field,69,70,Medium Fast,
104,PERSIAN,0,0,65,70,60,65,65,115,LIMBER,-------,90,50% Male & 50% Female,Field,Field,148,70,Medium Fast,
105,FELANKH,0,4,70,110,65,65,75,125,LIMBER,-------,90,50% Male & 50% Female,Field,Field,167,70,Medium Fast,
106,PATRAPHINX,0,4,95,125,115,125,115,30,MOXIE,-------,90,50% Male & 50% Female,Field,Field,199,70,Medium Fast,
107,PSYDUCK,11,11,50,52,48,65,50,55,DAMP,CLOUD NINE,190,50% Male & 50% Female,Water1,Field,80,70,Medium Fast,
108,GOLDUCK,11,11,80,82,78,95,80,85,DAMP,CLOUD NINE,75,50% Male & 50% Female,Water1,Field,174,70,Medium Fast,
109,GILDUCK,11,14,90,85,85,110,90,90,DAMP,CLOUD NINE,75,50% Male & 50% Female,Water1,Field,190,70,Medium Fast,
110,PLATINUPUS,11,14,120,85,90,120,100,80,DAMP,THICK FAT,75,50% Male & 50% Female,Water1,Field,205,70,Medium Fast,
111,MANKEY,1,1,40,80,35,35,45,70,VITAL SPIRIT,-------,190,50% Male & 50% Female,Field,Field,74,70,Medium Fast,
112,PRIMEAPE,1,1,65,105,60,60,70,95,VITAL SPIRIT,-------,75,50% Male & 50% Female,Field,Field,149,70,Medium Fast,
113,GORILLASH,1,1,90,115,80,60,75,95,VITAL SPIRIT,-------,75,50% Male & 50% Female,Field,Field,166,70,Medium Fast,
114,BONUMBELL,1,8,115,155,100,60,75,90,VITAL SPIRIT,-------,75,50% Male & 50% Female,Field,Field,188,70,Medium Fast,
115,GROWLITHE,10,10,55,70,45,70,50,60,INTIMIDATE,FLASH FIRE,190,75% Male,Field,Field,91,70,Medium Slow,
116,ARCANINE,10,10,80,110,75,100,75,95,INTIMIDATE,FLASH FIRE,75,75% Male,Field,Field,213,70,Medium Slow,
117,SINGESHA,10,10,90,120,80,110,80,105,INTIMIDATE,FLASH FIRE,75,75% Male,Field,Field,220,70,Medium Slow,
118,GUARDIANCE,10,16,95,135,90,120,90,120,SERENE GRACE,FLASH FIRE,75,75% Male,Field,Field,230,70,Medium Slow,
119,POLIWAG,11,11,40,50,40,40,40,90,WATER ABSORB,DAMP,255,50% Male & 50% Female,Water1,Water1,77,70,Medium Fast,
120,POLIWHIRL,11,11,65,65,65,50,50,90,WATER ABSORB,DAMP,120,50% Male & 50% Female,Water1,Water1,131,70,Medium Fast,
121,POLIWRATH,11,1,90,85,95,70,90,70,WATER ABSORB,DAMP,45,50% Male & 50% Female,Water1,Water1,185,70,Medium Fast,
122,POLITOES,11,1,105,100,110,75,90,75,WATER ABSORB,DAMP,45,50% Male & 50% Female,Water1,Water1,205,70,Medium Fast,
123,POLIWISE,11,1,115,115,110,85,95,75,WATER ABSORB,DAMP,45,50% Male & 50% Female,Water1,Water1,220,70,Medium Fast,
124,POLIATH,11,1,130,130,115,90,100,70,WATER ABSORB,DAMP,45,50% Male & 50% Female,Water1,Water1,235,70,Medium Fast,
125,ABRA,14,14,25,20,15,105,55,90,SYNCHRONIZE,INNER FOCUS,200,75% Male,Human-Like,Human-Like,73,70,Medium Fast,
126,KADABRA,14,14,40,35,30,120,70,105,SYNCHRONIZE,INNER FOCUS,100,75% Male,Human-Like,Human-Like,145,70,Medium Fast,
127,ALAKAZAM,14,14,55,50,45,135,85,120,SYNCHRONIZE,INNER FOCUS,50,75% Male,Human-Like,Human-Like,186,70,Medium Fast,
128,SIMSALABIM,14,14,65,50,50,145,105,125,SYNCHRONIZE,INNER FOCUS,50,75% Male,Human-Like,Human-Like,203,70,Medium Fast,
129,VOHOO-DU,14,17,75,55,55,150,120,125,EFFECT SPORE,INNER FOCUS,50,75% Male,Human-Like,Human-Like,218,70,Medium Fast,
130,T'ZARKARTZ,14,17,75,75,55,190,160,110,INTIMIDATE,INNER FOCUS,50,75% Male,Human-Like,Human-Like,225,70,Medium Fast,
131,MACHOP,1,1,70,80,50,35,35,35,GUTS,-------,180,75% Male,Human-Like,Human-Like,88,70,Medium Fast,
132,MACHOKE,1,1,80,100,70,50,60,45,GUTS,-------,90,75% Male,Human-Like,Human-Like,146,70,Medium Fast,
133,MACHAMP,1,1,90,130,80,65,85,55,GUTS,-------,45,75% Male,Human-Like,Human-Like,193,70,Medium Fast,
134,MACHULK,1,1,100,150,95,70,90,50,GUTS,-------,45,75% Male,Human-Like,Human-Like,210,70,Medium Fast,
135,ABOMACHULK,1,1,125,165,105,75,95,50,GUTS,-------,45,75% Male,Human-Like,Human-Like,220,70,Medium Fast,
136,MACHITAN,1,17,135,170,115,75,105,50,GUTS,-------,45,75% Male,Human-Like,Human-Like,235,70,Medium Fast,
137,BELLSPROUT,12,3,50,75,35,70,30,40,CHLOROPHYLL,-------,255,50% Male & 50% Female,Grass,Grass,84,70,Medium Fast,
138,WEEPINBELL,12,3,65,90,50,85,45,55,CHLOROPHYLL,-------,120,50% Male & 50% Female,Grass,Grass,151,70,Medium Fast,
139,VICTREEBEL,12,3,80,105,65,100,70,70,CHLOROPHYLL,-------,45,50% Male & 50% Female,Grass,Grass,191,70,Medium Fast,
140,MUCKTRIBEL,12,3,105,115,65,115,70,75,CHLOROPHYLL,-------,45,50% Male & 50% Female,Grass,Grass,208,70,Medium Fast,
141,CARNABELL,12,3,115,125,90,125,70,70,CHLOROPHYLL,-------,45,50% Male & 50% Female,Grass,Grass,220,70,Medium Fast,
142,DEVLORA,12,3,125,135,100,135,75,55,CHLOROPHYLL,-------,45,50% Male & 50% Female,Grass,Grass,230,70,Medium Fast,
143,TENTACOOL,11,3,40,40,35,50,100,70,CLEAR BODY,LIQUID OOZE,190,50% Male & 50% Female,Water3,Water3,105,70,Medium Slow,
144,TENTACRUEL,11,3,80,70,65,80,120,100,CLEAR BODY,LIQUID OOZE,60,50% Male & 50% Female,Water3,Water3,205,70,Medium Slow,
145,TENTACATE,11,3,100,80,70,90,125,100,CLEAR BODY,LIQUID OOZE,60,50% Male & 50% Female,Water3,Water3,220,70,Medium Slow,
146,TENTABOMA,11,3,135,90,80,110,140,85,CLEAR BODY,LIQUID OOZE,60,50% Male & 50% Female,Water3,Water3,230,70,Medium Slow,
147,GEODUDE,5,4,40,80,100,30,30,20,ROCK HEAD,STURDY,255,50% Male & 50% Female,Mineral,Mineral,86,70,Medium Fast,
148,GRAVELER,5,4,55,95,115,45,45,35,ROCK HEAD,STURDY,120,50% Male & 50% Female,Mineral,Mineral,134,70,Medium Fast,
149,GOLEM,5,4,80,110,130,55,65,45,ROCK HEAD,STURDY,45,50% Male & 50% Female,Mineral,Mineral,177,70,Medium Fast,
150,SLAGOLEM,5,4,90,120,150,70,70,50,ROCK HEAD,STURDY,45,50% Male & 50% Female,Mineral,Mineral,198,70,Medium Fast,
151,MOLTREM,5,10,100,130,175,85,70,55,ROCK HEAD,STURDY,45,50% Male & 50% Female,Mineral,Mineral,210,70,Medium Fast,
152,VOLCANICOL,5,10,110,130,190,100,75,45,ROCK HEAD,STURDY,45,50% Male & 50% Female,Mineral,Mineral,225,70,Medium Fast,
153,PONYTA,10,10,50,75,40,55,55,90,RUN AWAY,FLASH FIRE,190,50% Male & 50% Female,Field,Field,152,70,Medium Fast,
154,RAPIDASH,10,10,65,100,70,80,80,105,RUN AWAY,FLASH FIRE,60,50% Male & 50% Female,Field,Field,192,70,Medium Fast,
155,COMBUSTANG,10,10,80,110,80,100,90,115,SPEED BOOST,FLASH FIRE,60,50% Male & 50% Female,Field,Field,208,70,Medium Fast,
156,KNIGHTMARE,10,8,90,125,90,120,105,130,SPEED BOOST,FLASH FIRE,60,50% Male & 50% Female,Field,Field,217,70,Medium Fast,
157,SLOWPOKE,11,14,90,65,65,40,40,15,OBLIVIOUS,OWN TEMPO,190,50% Male & 50% Female,Monster,Water1,99,70,Medium Fast,
158,SLOWBRO,11,14,95,75,110,100,80,30,OBLIVIOUS,OWN TEMPO,75,50% Male & 50% Female,Monster,Water1,164,70,Medium Fast,
159,SLOWMATE,11,14,110,75,130,110,85,30,OBLIVIOUS,OWN TEMPO,75,50% Male & 50% Female,Monster,Water1,185,70,Medium Fast,
160,SLOWCHUM,11,14,125,80,145,120,85,20,OBLIVIOUS,OWN TEMPO,75,50% Male & 50% Female,Monster,Water1,203,70,Medium Fast,
161,MAGNEMITE,13,8,25,35,70,95,55,45,MAGNET PULL,STURDY,190,Genderless,Mineral,Mineral,89,70,Medium Fast,
162,MAGNETON,13,8,50,50,75,110,60,60,MAGNET PULL,STURDY,60,Genderless,Mineral,Mineral,161,70,Medium Fast,
163,MAGNEZONE,13,8,70,70,115,130,90,60,MAGNET PULL,STURDY,60,Genderless,Mineral,Mineral,190,70,Medium Fast,
164,MAGNEMELD,13,8,80,75,120,135,110,50,MAGNET PULL,STURDY,60,Genderless,Mineral,Mineral,210,70,Medium Fast,
165,MAGNEMASTR,13,8,95,105,130,145,125,40,MAGNET PULL,STURDY,60,Genderless,Mineral,Mineral,225,70,Medium Fast,
166,FARFETCH'D,0,2,52,65,55,58,62,60,KEEN EYE,INNER FOCUS,45,50% Male & 50% Female,Flying,Field,94,70,Medium Fast,
167,FORFOWL'D,0,2,65,90,60,70,65,70,KEEN EYE,INNER FOCUS,45,50% Male & 50% Female,Flying,Field,150,70,Medium Fast,
168,FOWLN'TOM,7,2,75,110,75,110,90,85,SHADOW TAG,INNER FOCUS,45,50% Male & 50% Female,Flying,Field,170,70,Medium Fast,
169,DODUO,0,2,35,85,45,35,35,75,RUN AWAY,EARLY BIRD,190,50% Male & 50% Female,Flying,Flying,96,70,Medium Fast,
170,DODRIO,0,2,60,110,70,60,60,100,RUN AWAY,EARLY BIRD,45,50% Male & 50% Female,Flying,Flying,158,70,Medium Fast,
171,QUADODO,0,2,75,125,85,65,65,125,RUN AWAY,EARLY BIRD,45,50% Male & 50% Female,Flying,Flying,182,70,Medium Fast,
172,DODOZEN,16,2,110,145,100,80,70,115,THICK FAT,EARLY BIRD,45,50% Male & 50% Female,Flying,Flying,206,70,Medium Fast,
173,SEEL,11,11,65,45,55,45,70,45,THICK FAT,-------,190,50% Male & 50% Female,Water1,Field,100,70,Medium Fast,
174,DEWGONG,11,15,90,70,80,70,95,70,THICK FAT,-------,75,50% Male & 50% Female,Water1,Field,176,70,Medium Fast,
175,PRECIPED,11,15,100,75,90,80,105,70,THICK FAT,-------,75,50% Male & 50% Female,Water1,Field,192,70,Medium Fast,
176,MANATII,11,15,115,75,105,100,125,75,THICK FAT,-------,75,50% Male & 50% Female,Water1,Field,210,70,Medium Fast,
177,GRIMER,3,3,80,40,50,80,50,25,STENCH,STICKY HOLD,190,50% Male & 50% Female,Amorphous,Amorphous,90,70,Medium Fast,
178,MUK,3,3,105,65,75,105,100,50,STENCH,STICKY HOLD,75,50% Male & 50% Female,Amorphous,Amorphous,157,70,Medium Fast,
179,GUNK,3,3,110,70,85,115,110,60,STENCH,STICKY HOLD,75,50% Male & 50% Female,Amorphous,Amorphous,180,70,Medium Fast,
180,SKUM,3,17,125,75,105,130,120,75,STENCH,LIQUID OOZE,75,50% Male & 50% Female,Amorphous,Amorphous,203,70,Medium Fast,
181,SHELLDER,11,11,30,65,100,45,25,40,SHELL ARMOR,-------,190,50% Male & 50% Female,Water3,Water3,97,70,Medium Slow,
182,CLOYSTER,11,15,50,95,180,85,45,70,SHELL ARMOR,-------,60,50% Male & 50% Female,Water3,Water3,203,70,Medium Slow,
183,AN'ENEMY,11,15,60,110,190,95,55,75,SHELL ARMOR,-------,60,50% Male & 50% Female,Water3,Water3,219,70,Medium Slow,
184,GLAISHELL,11,15,65,120,200,95,70,75,SNOW WARNING,-------,60,50% Male & 50% Female,Water3,Water3,230,70,Medium Slow,
185,GASTLY,7,3,30,35,30,100,35,80,LEVITATE,-------,190,50% Male & 50% Female,Amorphous,Amorphous,95,70,Medium Fast,
186,HAUNTER,7,3,45,50,45,115,55,95,LEVITATE,-------,90,50% Male & 50% Female,Amorphous,Amorphous,126,70,Medium Fast,
187,GENGAR,7,3,60,65,60,130,75,110,LEVITATE,-------,45,50% Male & 50% Female,Amorphous,Amorphous,190,70,Medium Fast,
188,GENGONE,7,14,70,65,60,145,90,120,LEVITATE,-------,45,50% Male & 50% Female,Amorphous,Amorphous,209,70,Medium Fast,
189,POLTERGAST,7,14,80,70,65,145,100,120,LEVITATE,-------,45,50% Male & 50% Female,Amorphous,Amorphous,220,70,Medium Fast,
190,GRIMM,7,14,90,75,75,180,100,140,BAD DREAMS,-------,45,50% Male & 50% Female,Amorphous,Amorphous,230,70,Medium Fast,
191,ONIX,5,4,35,45,120,30,45,70,ROCK HEAD,STURDY,45,50% Male & 50% Female,Mineral,Mineral,108,70,Medium Fast,
192,STEELIX,8,4,75,85,200,55,65,30,ROCK HEAD,STURDY,25,50% Male & 50% Female,Mineral,Mineral,196,70,Medium Fast,
193,PLATNIX,8,4,80,95,225,55,75,30,ROCK HEAD,STURDY,25,50% Male & 50% Female,Mineral,Mineral,210,70,Medium Fast,
194,OBSIDIANIX,8,4,85,100,235,65,85,40,ROCK HEAD,STURDY,25,50% Male & 50% Female,Mineral,Mineral,219,70,Medium Fast,
195,STALAGMIX,8,4,85,105,255,65,95,40,ROCK HEAD,STURDY,25,50% Male & 50% Female,Mineral,Mineral,229,70,Medium Fast,
196,DROWZEE,14,14,60,48,45,43,90,42,INSOMNIA,-------,190,50% Male & 50% Female,Human-Like,Human-Like,102,70,Medium Fast,
