TrainerID,TrainerClass,TrainerName,StructType,SlotNum,Pokemon,Level,Move1,Move2,Move3,Move4,MoveSource,Ability,HeldItem,IVs
139,RIVAL,DYLAN,0,3,LAPRAS,23,WATER GUN,MIST,BODY SLAM,CONFUSE RAY,Level-up,WATER ABSORB / SHELL ARMOR,None,0
140,RIVAL,PHILLIP,0,1,MAGMAR,24,CURSE,LEER,SMOG,FIRE PUNCH,Level-up,FLAME BODY,None,0
140,RIVAL,PHILLIP,0,2,ELECTABUZZ,24,QUICK ATTACK,THUNDERPUNCH,LIGHT SCREEN,CHARGE,Level-up,STATIC / THICK FAT,None,0
141,RIVAL,DWAYNE,0,1,PIKACHU,26,QUICK ATTACK,DOUBLE TEAM,SLAM,SPARK,Level-up,STATIC,None,0
141,RIVAL,DWAYNE,0,2,JOLTEON,26,HELPING HAND,SAND-ATTACK,THUNDERSHOCK,QUICK ATTACK,Level-up,VOLT ABSORB,None,0
142,RIVAL,LIAM,1,1,RHYHORN,10,HORN ATTACK,FURY ATTACK,TAIL WHIP,STOMP,Level-up,LIGHTNINGROD / ROCK HEAD,ENERGY ROOT,0
143,RIVAL,SHANE,0,1,RATTATA,17,TAIL WHIP,QUICK ATTACK,HYPER FANG,SCARY FACE,Level-up,RUN AWAY / GUTS,None,0
143,RIVAL,SHANE,0,2,DIGLETT,17,GROWL,TRI ATTACK,MAGNITUDE,DIG,Level-up,SAND VEIL / ARENA TRAP,None,0
144,RIVAL,ETHAN,0,1,MANKEY,22,LOW KICK,KARATE CHOP,FURY SWIPES,FOCUS ENERGY,Level-up,VITAL SPIRIT,None,0
145,RIVAL,RICKY,0,1,WARTORTLE,25,WATER GUN,BITE,RAPID SPIN,BUBBLEBEAM,Level-up,TORRENT,None,0
146,RIVAL,JEFF,0,1,FEAROW,20,GROWL,PECK,LEER,FURY ATTACK,Level-up,KEEN EYE,None,0
146,RIVAL,JEFF,0,2,RATICATE,20,QUICK ATTACK,SNATCH,HYPER FANG,SCARY FACE,Level-up,RUN AWAY / GUTS,None,0
148,RIVAL,CHRIS,0,1,ARCANINE,25,EMBER,LEER,ODOR SLEUTH,FLAME WHEEL,Level-up,INTIMIDATE / FLASH FIRE,None,0
148,RIVAL,CHRIS,0,2,CHARMELEON,28,EMBER,METAL CLAW,SMOKESCREEN,SCARY FACE,Level-up,BLAZE,None,0
149,RIVAL,DREW,0,1,RATICATE,25,QUICK ATTACK,SNATCH,HYPER FANG,SCARY FACE,Level-up,RUN AWAY / GUTS,None,0
149,RIVAL,DREW,0,2,SANDSLASH,25,SAND-ATTACK,SAND TOMB,POISON STING,SLASH,Level-up,SAND VEIL,None,0
149,RIVAL,DREW,0,3,ARBOK,25,POISON STING,BITE,GLARE,SCREECH,Level-up,INTIMIDATE / SHED SKIN,None,0
149,RIVAL,DREW,0,4,DUGTRIO,25,MAGNITUDE,DIG,FURY SWIPES,MUD-SLAP,Level-up,SAND VEIL / ARENA TRAP,None,0
150,ROCKET,DIANA,0,1,GOLDEEN,23,PECK,WATER SPORT,SUPERSONIC,HORN ATTACK,Level-up,SWIFT SWIM / WATER VEIL,None,0
151,ROCKET,NANCY,0,1,RATICATE,20,QUICK ATTACK,SNATCH,HYPER FANG,SCARY FACE,Level-up,RUN AWAY / GUTS,None,0
151,ROCKET,NANCY,0,2,PIKACHU,20,THUNDER WAVE,QUICK ATTACK,DOUBLE TEAM,SLAM,Level-up,STATIC,None,0
152,ROCKET,ISABELLE,0,1,PIDGEOTTO,20,SAND-ATTACK,GUST,QUICK ATTACK,WHIRLWIND,Level-up,KEEN EYE,None,0
152,ROCKET,ISABELLE,0,2,DODUO,20,GROWL,PECK,PURSUIT,FURY ATTACK,Level-up,RUN AWAY / EARLY BIRD,None,0
152,ROCKET,ISABELLE,0,3,EEVEE,20,RAIN DANCE,HELPING HAND,SAND-ATTACK,WATER GUN,Level-up,RUN AWAY,None,0
153,ROCKET,KELSEY,0,1,NIDORAN+,18,POISON STING,DOUBLE KICK,TAIL WHIP,GROWL,Level-up,POISON POINT,None,0
153,ROCKET,KELSEY,0,2,NIDORAN,18,POISON STING,DOUBLE KICK,TAIL WHIP,GROWL,Level-up,POISON POINT,None,0
154,ROCKET,ALICIA,0,1,GLOOM,24,STUN SPORE,SLEEP POWDER,SWIFT,ACID,Level-up,CHLOROPHYLL,None,0
154,ROCKET,ALICIA,0,2,WEEPINBELL,24,POISONPOWDER,STUN SPORE,SLEEP POWDER,RAZOR LEAF,Level-up,CHLOROPHYLL,None,0
154,ROCKET,ALICIA,0,3,VILEPLUME,24,STUN SPORE,SLEEP POWDER,SWIFT,ACID,Level-up,CHLOROPHYLL,None,0
154,ROCKET,ALICIA,0,4,VICTREEBEL,24,POISONPOWDER,STUN SPORE,SLEEP POWDER,RAZOR LEAF,Level-up,CHLOROPHYLL,None,0
155,ROCKET,CAITLIN,0,1,PERSIAN,31,PAY DAY,FAINT ATTACK,FURY SWIPES,SLASH,Level-up,LIMBER,None,0
156,ROCKET,HEIDI,0,1,RAICHU,29,QUICK ATTACK,DOUBLE TEAM,SLAM,SPARK,Level-up,STATIC,None,0
156,ROCKET,HEIDI,0,2,CLEFABLE,29,SWIFT,MINIMIZE,DEFENSE CURL,METRONOME,Level-up,CUTE CHARM,None,0
157,ROCKET,CAROL,0,1,PIDGEOT,30,GUST,QUICK ATTACK,WHIRLWIND,WING ATTACK,Level-up,KEEN EYE,None,0
157,ROCKET,CAROL,0,2,BLISSEY,30,SOFTBOILED,DOUBLESLAP,MINIMIZE,SING,Level-up,NATURAL CURE / SERENE GRACE,None,0
158,ROCKET,SOFIA,0,1,WIGGLYTUFF,30,DISABLE,ROLLOUT,DOUBLESLAP,REST,Level-up,CUTE CHARM,None,0
158,ROCKET,SOFIA,0,2,PIDGEOT,30,GUST,QUICK ATTACK,WHIRLWIND,WING ATTACK,Level-up,KEEN EYE,None,0
158,ROCKET,SOFIA,0,3,PERSIAN,30,BITE,PAY DAY,FAINT ATTACK,FURY SWIPES,Level-up,LIMBER,None,0
159,ROCKET,MARTHA,0,1,GLOOM,30,SLEEP POWDER,SWIFT,ACID,TOXIC,Level-up,CHLOROPHYLL,None,0
159,ROCKET,MARTHA,0,2,VENUSAUR,30,POISONPOWDER,SLEEP POWDER,RAZOR LEAF,SWEET SCENT,Level-up,OVERGROW,None,0
160,ROCKET,TINA,0,1,VENUSAUR,36,SLEEP POWDER,RAZOR LEAF,SWEET SCENT,SLUDGE BOMB,Level-up,OVERGROW,None,0
160,ROCKET,TINA,0,2,TANGROWTH,36,POISONPOWDER,VINE WHIP,BIND,MEGA DRAIN,Level-up,CHLOROPHYLL,None,0
161,ROCKET,HANNAH,0,1,PIDGEY,24,SAND-ATTACK,GUST,QUICK ATTACK,WHIRLWIND,Level-up,KEEN EYE,None,0
161,ROCKET,HANNAH,0,2,MEOWTH,24,GROWL,BITE,PAY DAY,FAINT ATTACK,Level-up,PICKUP,None,0
161,ROCKET,HANNAH,0,3,RATTATA,24,QUICK ATTACK,HYPER FANG,SCARY FACE,PURSUIT,Level-up,RUN AWAY / GUTS,None,0
161,ROCKET,HANNAH,0,4,PIKACHU,24,THUNDER WAVE,QUICK ATTACK,DOUBLE TEAM,SLAM,Level-up,STATIC,None,0
161,ROCKET,HANNAH,0,5,MEOWTH,24,GROWL,BITE,PAY DAY,FAINT ATTACK,Level-up,PICKUP,None,0
193,CLASS#65,OLIVER,0,1,ONIX,29,ROCK THROW,HARDEN,RAGE,ROCK SLIDE,Level-up,ROCK HEAD / STURDY,None,0
193,CLASS#65,OLIVER,0,2,RHYDON,28,STOMP,FURY ATTACK,METAL CLAW,SCARY FACE,Level-up,LIGHTNINGROD / ROCK HEAD,None,0
193,CLASS#65,OLIVER,0,3,OMANYTE,29,CONSTRICT,BITE,WATER GUN,MUD SHOT,Level-up,SWIFT SWIM / SHELL ARMOR,None,0
198,CLASS#66,ALEX,0,1,KABUTOPS,40,CLAMP,LEER,WATERFALL,ROCK SLIDE,Level-up,SWIFT SWIM / BATTLE ARMOR,None,0
198,CLASS#66,ALEX,0,2,MUK,40,ACID ARMOR,STOCKPILE,SLUDGE BOMB,PAIN SPLIT,Level-up,STENCH / STICKY HOLD,None,0
198,CLASS#66,ALEX,0,3,SNORLAX,40,REST,SNORE,BODY SLAM,SLEEP TALK,Level-up,IMMUNITY / THICK FAT,None,0
208,CLASS#66,ISAAC,0,1,MUK,42,ACID ARMOR,STOCKPILE,SLUDGE BOMB,PAIN SPLIT,Level-up,STENCH / STICKY HOLD,None,0
208,CLASS#66,ISAAC,0,2,VICTREEBEL,42,SWEET SCENT,SLUDGE BOMB,SLAM,TOXIC,Level-up,CHLOROPHYLL,None,0
208,CLASS#66,ISAAC,0,3,RAPIDASH,40,STOMP,TAKE DOWN,AGILITY,BOUNCE,Level-up,RUN AWAY / FLASH FIRE,None,0
237,ER+,MATTHEW,0,1,POLITOES,50,SUBMISSION,BULK UP,ICE PUNCH,MEGA PUNCH,Level-up,WATER ABSORB / DAMP,None,0
237,ER+,MATTHEW,0,2,FERRAPIN,51,RAPID SPIN,BUBBLEBEAM,PROTECT,RAIN DANCE,Level-up,SHELL ARMOR,None,0
284,RIVAL,RANDALL,0,1,VOLTORB,20,TACKLE,CHARGE,SCREECH,SONICBOOM,Level-up,SOUNDPROOF / STATIC,None,0
284,RIVAL,RANDALL,0,2,MAGNEMITE,20,METAL SOUND,THUNDERSHOCK,SUPERSONIC,SONICBOOM,Level-up,MAGNET PULL / STURDY,None,0
284,RIVAL,RANDALL,0,3,VOLTORB,20,TACKLE,CHARGE,SCREECH,SONICBOOM,Level-up,SOUNDPROOF / STATIC,None,0
285,RIVAL,LUCA,0,1,ELECTRODES,40,SHOCK WAVE,SELFDESTRUCT,ROLLOUT,LIGHT SCREEN,Level-up,SOUNDPROOF / STATIC,None,0
285,RIVAL,LUCA,0,2,ELECTIVIRE,40,CHARGE,SWIFT,SCREECH,THUNDERBOLT,Level-up,STATIC / THICK FAT,None,0
326,RIVAL,TERRY,0,1,SQUIRTLE,5,TACKLE,BUBBLE,TAIL WHIP,-,Level-up,TORRENT,None,0
327,RIVAL,TERRY,0,1,BULBASAUR,5,TACKLE,LEECH SEED,GROWL,-,Level-up,OVERGROW,None,0
328,RIVAL,TERRY,0,1,CHARMANDER,5,SCRATCH,GROWL,EMBER,-,Level-up,BLAZE,None,0
329,RIVAL,TERRY,1,1,PIDGEY,10,TACKLE,SAND-ATTACK,GUST,-,Level-up,KEEN EYE,REVIVAL HERB,50
330,RIVAL,TERRY,1,1,PIDGEY,10,TACKLE,SAND-ATTACK,GUST,-,Level-up,KEEN EYE,REVIVAL HERB,50
331,RIVAL,TERRY,1,1,PIDGEY,10,TACKLE,SAND-ATTACK,GUST,-,Level-up,KEEN EYE,REVIVAL HERB,50
332,RIVAL,TERRY,1,1,PIDGEOTTO,21,SAND-ATTACK,GUST,QUICK ATTACK,WHIRLWIND,Level-up,KEEN EYE,REVIVAL HERB,50
332,RIVAL,TERRY,1,2,DIGLETT,16,SAND-ATTACK,GROWL,TRI ATTACK,MAGNITUDE,Level-up,SAND VEIL / ARENA TRAP,None,28
332,RIVAL,TERRY,1,3,KADABRA,20,TELEPORT,KINESIS,CONFUSION,DISABLE,Level-up,SYNCHRONIZE / INNER FOCUS,SUN STONE,50
333,RIVAL,TERRY,1,1,PIDGEOTTO,21,SAND-ATTACK,GUST,QUICK ATTACK,WHIRLWIND,Level-up,KEEN EYE,REVIVAL HERB,50
333,RIVAL,TERRY,1,2,DIGLETT,16,SAND-ATTACK,GROWL,TRI ATTACK,MAGNITUDE,Level-up,SAND VEIL / ARENA TRAP,None,28
333,RIVAL,TERRY,1,3,KADABRA,20,TELEPORT,KINESIS,CONFUSION,DISABLE,Level-up,SYNCHRONIZE / INNER FOCUS,SUN STONE,50
334,RIVAL,TERRY,1,1,PIDGEOTTO,21,SAND-ATTACK,GUST,QUICK ATTACK,WHIRLWIND,Level-up,KEEN EYE,REVIVAL HERB,50
334,RIVAL,TERRY,1,2,DIGLETT,16,SAND-ATTACK,GROWL,TRI ATTACK,MAGNITUDE,Level-up,SAND VEIL / ARENA TRAP,None,28
334,RIVAL,TERRY,1,3,KADABRA,20,TELEPORT,KINESIS,CONFUSION,DISABLE,Level-up,SYNCHRONIZE / INNER FOCUS,SUN STONE,50
341,TIST,TAYLOR,1,1,ELECTRODES,40,SHOCK WAVE,SELFDESTRUCT,ROLLOUT,LIGHT SCREEN,Level-up,SOUNDPROOF / STATIC,SECRET KEY,0
341,TIST,TAYLOR,1,2,WEEZING,40,SLUDGE,SMOKESCREEN,HAZE,TRI ATTACK,Level-up,LEVITATE,STARDUST,0
341,TIST,TAYLOR,1,3,MAGNEZONE,40,SHOCK WAVE,LOCK-ON,FLASH CANNON,SWIFT,Level-up,MAGNET PULL / STURDY,REPEL,0
348,LEADER,GIOVANNI,0,1,KANGASKHAN,36,TAIL WHIP,FAKE OUT,MEGA PUNCH,RAGE,Level-up,EARLY BIRD,None,250
348,LEADER,GIOVANNI,0,2,STEELIX,36,RAGE,ROCK SLIDE,IRON DEFENSE,SANDSTORM,Level-up,ROCK HEAD / STURDY,None,250
348,LEADER,GIOVANNI,0,3,RHYPERIOR,38,SCARY FACE,ROCK BLAST,MAGNITUDE,HORN DRILL,Level-up,LIGHTNINGROD / ROCK HEAD,None,250
348,LEADER,GIOVANNI,0,4,FELANKH,42,FURY SWIPES,SLASH,CRUNCH,FAKE OUT,Level-up,LIMBER,None,250
349,LEADER,GIOVANNI,0,1,FELANKH,52,FAKE OUT,COUNTER,SWAGGER,PSYCHIC,Level-up,LIMBER,None,250
349,LEADER,GIOVANNI,0,2,NIDORULY,53,SWAGGER,HORN DRILL,POISON JAB,EARTHQUAKE,Level-up,POISON POINT,None,250
349,LEADER,GIOVANNI,0,3,KANGALLOUS,53,ENDURE,BONE CLUB,DIZZY PUNCH,REVERSAL,Level-up,INTIMIDATE,None,250
349,LEADER,GIOVANNI,0,4,RHYMARKABL,61,TAKE DOWN,CRUSH CLAW,EARTHQUAKE,CURSE,Level-up,LIGHTNINGROD / ROCK HEAD,None,250
349,LEADER,GIOVANNI,0,5,NIDOARCHY,58,HORN ATTACK,SAND TOMB,SWAGGER,HORN DRILL,Level-up,INTIMIDATE,None,250
350,RIVAL,GIOVANNI,1,1,PATRAPHINX,66,SCREECH,PSYCH UP,FURY SWIPES,HYDRO PUMP,Level-up,MOXIE,Item#89,0
350,RIVAL,GIOVANNI,1,2,DIGLENOID,66,SLASH,CRUNCH,FAKE OUT,SWAGGER,Level-up,SAND VEIL / ARENA TRAP,SPELON BERRY,0
350,RIVAL,GIOVANNI,1,3,STALAGMIX,67,PSYCHIC,PSYCH UP,SHADOW BALL,FUTURE SIGHT,Level-up,ROCK HEAD / STURDY,STARF BERRY,0
351,ROCKET,GRUNT,0,1,RATTATA,16,TAIL WHIP,QUICK ATTACK,HYPER FANG,SCARY FACE,Level-up,RUN AWAY / GUTS,None,0
351,ROCKET,GRUNT,0,2,ZUBAT,16,LEECH LIFE,ASTONISH,SUPERSONIC,BITE,Level-up,INNER FOCUS,None,0
352,ROCKET,GRUNT,0,1,SANDSHREW,13,SCRATCH,DEFENSE CURL,SAND-ATTACK,-,Level-up,SAND VEIL,None,0
352,ROCKET,GRUNT,0,2,RATTATA,13,TACKLE,TAIL WHIP,QUICK ATTACK,HYPER FANG,Level-up,RUN AWAY / GUTS,None,0
352,ROCKET,GRUNT,0,3,ZUBAT,13,BITE,LEECH LIFE,ASTONISH,SUPERSONIC,Level-up,INNER FOCUS,None,0
353,ROCKET,GRUNT,0,1,ZUBAT,13,BITE,LEECH LIFE,ASTONISH,SUPERSONIC,Level-up,INNER FOCUS,None,0
353,ROCKET,GRUNT,0,2,EKANS,13,WRAP,LEER,POISON STING,BITE,Level-up,INTIMIDATE / SHED SKIN,None,0
354,ROCKET,GRUNT,0,1,RATTATA,16,TAIL WHIP,QUICK ATTACK,HYPER FANG,SCARY FACE,Level-up,RUN AWAY / GUTS,None,0
354,ROCKET,GRUNT,0,2,MEOWTH,16,SCRATCH,GROWL,BITE,PAY DAY,Level-up,PICKUP,None,0
355,ROCKET,GRUNT,0,1,MACHOKE,21,LOW KICK,FOCUS ENERGY,KARATE CHOP,SEISMIC TOSS,Level-up,GUTS,None,0
355,ROCKET,GRUNT,0,2,DROWZEE,21,MIND READER,CONFUSION,SWIFT,POISON GAS,Level-up,INSOMNIA,None,0
356,ROCKET,GRUNT,0,1,PIKACHU,18,TAIL WHIP,THUNDER WAVE,QUICK ATTACK,DOUBLE TEAM,Level-up,STATIC,None,0
356,ROCKET,GRUNT,0,2,ZUBAT,18,LEECH LIFE,ASTONISH,SUPERSONIC,BITE,Level-up,INNER FOCUS,None,0
357,ROCKET,GRUNT,0,1,RATTCHET,32,SCARY FACE,UPROAR,PURSUIT,SUPER FANG,Level-up,RUN AWAY / GUTS,None,0
357,ROCKET,GRUNT,0,2,CROBAT,32,BITE,WING ATTACK,CONFUSE RAY,POISON JAB,Level-up,INNER FOCUS,None,0
358,ROCKET,GRUNT,0,1,HYPNO,32,CONFUSION,SWIFT,POISON GAS,MEDITATE,Level-up,INSOMNIA,None,0
358,ROCKET,GRUNT,0,2,MACHAMP,32,SEISMIC TOSS,FORESIGHT,REVENGE,VITAL THROW,Level-up,GUTS,None,0
359,ROCKET,GRUNT,0,1,RATTCHET,32,SCARY FACE,UPROAR,PURSUIT,SUPER FANG,Level-up,RUN AWAY / GUTS,None,0
359,ROCKET,GRUNT,0,2,GENGAR,32,DREAM EATER,HYPNOSIS,DESTINY BOND,SLUDGE,Level-up,LEVITATE,None,0
360,ROCKET,GRUNT,1,1,MUK,32,SLUDGE,MINIMIZE,SCREECH,ACID ARMOR,Level-up,STENCH / STICKY HOLD,BIG PEARL,0
360,ROCKET,GRUNT,1,2,MOLTREM,50,EARTHQUAKE,ROCK SLIDE,EXPLOSION,DOUBLE-EDGE,Level-up,ROCK HEAD / STURDY,None,124
360,ROCKET,GRUNT,1,3,WEEZING,32,SELFDESTRUCT,SLUDGE,SMOKESCREEN,HAZE,Level-up,LEVITATE,MECH MAIL,0
361,ROCKET,GRUNT,0,1,RATICATE,30,SNATCH,HYPER FANG,SCARY FACE,PURSUIT,Level-up,RUN AWAY / GUTS,None,0
361,ROCKET,GRUNT,0,2,HAUNTER,30,CONFUSE RAY,DREAM EATER,HYPNOSIS,DESTINY BOND,Level-up,LEVITATE,None,0
361,ROCKET,GRUNT,0,3,TENTACOOL,30,CONSTRICT,ACID,BUBBLEBEAM,WRAP,Level-up,CLEAR BODY / LIQUID OOZE,None,0
361,ROCKET,GRUNT,0,4,VAPOREON,32,SAND-ATTACK,WATER GUN,QUICK ATTACK,BITE,Level-up,WATER ABSORB,None,0
362,ROCKET,GRUNT,1,1,MUK,34,MINIMIZE,SCREECH,ACID ARMOR,STOCKPILE,Level-up,STENCH / STICKY HOLD,RED SCARF,0
362,ROCKET,GRUNT,1,2,MOLTREM,50,EARTHQUAKE,ROCK SLIDE,EXPLOSION,DOUBLE-EDGE,Level-up,ROCK HEAD / STURDY,None,124
363,ROCKET,GRUNT,1,1,GOLBAT,29,SUPERSONIC,BITE,WING ATTACK,CONFUSE RAY,Level-up,INNER FOCUS,BERRY JUICE,0
363,ROCKET,GRUNT,1,2,CARNABELL,17,WRAP,POISONPOWDER,STUN SPORE,SLEEP POWDER,Level-up,CHLOROPHYLL,None,109
363,ROCKET,GRUNT,1,3,KOFFING,29,SMOG,SELFDESTRUCT,SLUDGE,SMOKESCREEN,Level-up,LEVITATE,MECH MAIL,0
364,ROCKET,GRUNT,0,1,RATTCHET,31,SCARY FACE,UPROAR,PURSUIT,SUPER FANG,Level-up,RUN AWAY / GUTS,None,0
364,ROCKET,GRUNT,0,2,TENTACOOL,31,CONSTRICT,ACID,BUBBLEBEAM,WRAP,Level-up,CLEAR BODY / LIQUID OOZE,None,0
364,ROCKET,GRUNT,0,3,HYPNO,31,CONFUSION,SWIFT,POISON GAS,MEDITATE,Level-up,INSOMNIA,None,0
365,ROCKET,GRUNT,0,1,MACHAMP,32,SEISMIC TOSS,FORESIGHT,REVENGE,VITAL THROW,Level-up,GUTS,None,0
365,ROCKET,GRUNT,0,2,PRIMEAPE,32,FOCUS ENERGY,SEISMIC TOSS,RAGE,CROSS CHOP,Level-up,VITAL SPIRIT,None,0
366,ROCKET,GRUNT,0,1,SANDSLAM,35,SLASH,MAGNITUDE,ROLLOUT,FURY SWIPES,Level-up,STURDY,None,0
366,ROCKET,GRUNT,0,2,NOHTYP,35,BITE,GLARE,SCREECH,POISON FANG,Level-up,INTIMIDATE / SHED SKIN,None,0
366,ROCKET,GRUNT,0,3,CROBAT,35,BITE,WING ATTACK,CONFUSE RAY,POISON JAB,Level-up,INNER FOCUS,None,0
367,ROCKET,GRUNT,0,1,NOHTYP,35,BITE,GLARE,SCREECH,POISON FANG,Level-up,INTIMIDATE / SHED SKIN,None,0
367,ROCKET,GRUNT,0,2,JOLTEON,35,SAND-ATTACK,THUNDERSHOCK,QUICK ATTACK,DOUBLE KICK,Level-up,VOLT ABSORB,None,0
367,ROCKET,GRUNT,0,3,TENTACRUEL,35,CONSTRICT,ACID,BUBBLEBEAM,WRAP,Level-up,CLEAR BODY / LIQUID OOZE,None,0
368,ROCKET,GRUNT,0,1,WEEZING,32,SELFDESTRUCT,SLUDGE,SMOKESCREEN,HAZE,Level-up,LEVITATE,None,0
368,ROCKET,GRUNT,0,2,CROBAT,32,BITE,WING ATTACK,CONFUSE RAY,POISON JAB,Level-up,INNER FOCUS,None,0
369,ROCKET,GRUNT,0,1,CROBAT,40,WING ATTACK,CONFUSE RAY,POISON JAB,MEAN LOOK,Level-up,INNER FOCUS,None,0
369,ROCKET,GRUNT,0,2,SNEEROW,40,MIRROR MOVE,TAUNT,DRILL PECK,AGILITY,Level-up,INSOMNIA,None,0
369,ROCKET,GRUNT,0,3,DRONARCH,40,SWORDS DANCE,ENCORE,AGILITY,MEGAHORN,Level-up,SWARM,None,0
370,ROCKET,GRUNT,0,1,WEEZING,41,SLUDGE,SMOKESCREEN,HAZE,TRI ATTACK,Level-up,LEVITATE,None,0
370,ROCKET,GRUNT,0,2,LULLOO,42,POISON GAS,MEDITATE,PSYCHIC,FOUL PLAY,Level-up,INSOMNIA,None,0
371,ROCKET,GRUNT,0,1,CROBAT,39,WING ATTACK,CONFUSE RAY,POISON JAB,MEAN LOOK,Level-up,INNER FOCUS,None,0
371,ROCKET,GRUNT,0,2,RATTCHET,40,PURSUIT,SUPER FANG,POISON FANG,FOUL PLAY,Level-up,RUN AWAY / GUTS,None,0
371,ROCKET,GRUNT,0,3,NOHTYP,41,POISON FANG,STOCKPILE,SPIT UP,SWALLOW,Level-up,INTIMIDATE / SHED SKIN,None,0
371,ROCKET,GRUNT,0,4,FELANKH,42,FURY SWIPES,SLASH,CRUNCH,FAKE OUT,Level-up,LIMBER,None,0
372,ROCKET,GRUNT,0,1,DROWZEE,26,MIND READER,CONFUSION,SWIFT,POISON GAS,Level-up,INSOMNIA,None,0
372,ROCKET,GRUNT,0,2,KOFFING,26,SMOG,SELFDESTRUCT,SLUDGE,SMOKESCREEN,Level-up,LEVITATE,None,0
373,ROCKET,GRUNT,0,1,OSSELOBBER,45,RAGE,FALSE SWIPE,THRASH,BONE RUSH,Level-up,ROCK HEAD / LIGHTNINGROD,None,0
